Importing module 'gym_38' (/home/ubuntu/jrWork/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_38.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/ubuntu/jrWork/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 2.0.1
Device count 1
/home/ubuntu/jrWork/isaacgym/python/isaacgym/_bindings/src/gymtorch
ninja: no work to do.
[Warning] [carb.gym.plugin] useGpu is set, forcing single scene (0 subscenes)
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:0
GPU Pipeline: enabled
Setting seed: 2300
Loading low-level model from logs/low/2025-06-22-15-47-03/nn/model_10000.pth
[Target] R=5.46, theta=-0.49 rad, target=(4.82, -2.56)
[RewardDebug] dist=5.027, robot_speed=0.378, robot_align=0.288, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.322, robot_align=0.341, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.340, robot_align=0.391, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.455, robot_align=0.385, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.498, robot_align=0.407, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.474, robot_align=0.425, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.517, robot_align=0.373, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.622, robot_align=0.315, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.709, robot_align=0.302, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.768, robot_align=0.301, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.883, robot_align=0.315, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.237, robot_align=0.321, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.522, robot_align=0.925, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.505, robot_align=0.935, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.358, robot_align=0.850, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.384, robot_align=0.954, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.461, robot_align=0.939, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.481, robot_align=0.869, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.412, robot_align=0.853, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.410, robot_align=0.921, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.463, robot_align=0.886, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.588, robot_align=0.935, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.866, robot_align=0.999, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.783, robot_align=0.991, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.559, robot_align=0.989, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.285, robot_align=1.000, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.216, robot_align=0.687, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.143, robot_align=0.418, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.147, robot_align=0.030, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.335, robot_align=0.008, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.387, robot_align=0.001, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.500, robot_align=0.002, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.486, robot_align=0.011, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.433, robot_align=0.105, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.498, robot_align=0.108, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.472, robot_align=0.079, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.460, robot_align=0.061, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.536, robot_align=0.065, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.624, robot_align=0.065, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.670, robot_align=0.058, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.725, robot_align=0.048, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.759, robot_align=0.060, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.302, robot_align=0.000, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.232, robot_align=0.485, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.133, robot_align=0.081, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.161, robot_align=0.095, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.160, robot_align=0.470, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.199, robot_align=0.977, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.271, robot_align=0.987, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.284, robot_align=0.980, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.350, robot_align=0.981, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.404, robot_align=0.985, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.405, robot_align=0.993, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.394, robot_align=0.997, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.397, robot_align=0.999, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.420, robot_align=0.999, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
